feature,variance,variance_rank,logreg_importance,logreg_rank,rf_importance,rf_rank,avg_rank
LOC_Os02g22700,1.6199349792427795,265,0.024043346468984577,161,0.0,481,302.3333333333333
LOC_Os01g02130,2.270774466072627,112,0.009494912727583254,420,0.0,375,302.3333333333333
LOC_Os05g17604,1.628477664926384,261,0.02261944378795527,180,0.0,467,302.6666666666667
LOC_Os07g23430,1.4203382601876955,366,0.012156735986435836,380,0.0017355371900826446,162,302.6666666666667
LOC_Os02g31990,1.4070526388331681,385,0.014219131359204204,346,0.0010714285714285717,178,303.0
LOC_Os09g23420,2.3009253062614943,110,0.009088051863863132,426,0.0,374,303.3333333333333
LOC_Os04g37880,1.4694051240283423,343,0.011994359243841382,387,0.0010413223140495866,184,304.6666666666667
LOC_Os08g08580,1.4424293710423828,354,0.0063292441061619095,465,0.0038429752066115714,95,304.6666666666667
LOC_Os04g54240,2.5269129535720776,90,0.013384583757429779,365,0.0,461,305.3333333333333
LOC_Os03g02330,1.9705103983103411,156,0.012685436794740929,373,0.0,394,307.6666666666667
LOC_Os12g17804,1.7473387393223456,215,0.01434849877775475,344,0.0,366,308.3333333333333
LOC_Os10g37340,1.899797578192626,179,0.014899852055451019,333,0.0,413,308.3333333333333
LOC_Os07g02920,1.796402819104433,204,0.013299092261685819,369,0.0,353,308.6666666666667
LOC_Os08g02700,1.9555281858003737,165,0.012648044067113331,375,0.0,387,309.0
LOC_Os02g48060,1.4020047942843377,390,0.017592763104538674,291,0.0,246,309.0
LOC_Os08g35160,1.3749368162906213,418,0.022193507299751697,195,0.0,315,309.3333333333333
LOC_Os01g04580,1.4144672814270272,374,0.007581787186416382,449,0.003583823815228775,106,309.6666666666667
LOC_Os02g15290,1.5117762267129784,319,0.023391376202983316,168,0.0,444,310.3333333333333
LOC_Os10g38350,1.4117876497962447,378,0.016279374655218976,306,0.0,250,311.3333333333333
LOC_Os09g38239,1.7226711174437042,223,0.0017116486263108234,497,0.0009306818181818177,214,311.3333333333333
